,Estrategia 1 — Catálogo base,Estrategia 1 — Catálogo reducido (ex-ante)
Total 10-year loss median ($MM),1408.5,1408.5
Total 10-year coverage median ($MM),509.4,509.4
Total 10-year retention median ($MM),217.7,217.7
Total 10-year uncovered median ($MM),668.5,668.5
Total 10-year FISCAL retention median ($MM),130.6,130.6
Total 10-year FISCAL uncovered median ($MM),401.1,401.1
