year,econ_loss
2008,0.68
2008,0.04
2008,7
2008,0.00867
2008,0.05746
2008,0.04
2008,0.536842
2008,0.01814
2008,0.04
2008,0.12435
2008,2.631579
2008,5.6935
2008,46.8845
2008,8.4133
2008,73.68871
2008,92.2135
2008,15.28849
2008,0.343
2008,0.0098
2008,0.3724
2009,0.0867
2009,0.255
2009,0.065
2009,0.08534
2009,0.00289
2009,0.51289
2009,0.85662
2009,0.07225
2009,0.90916
2009,49.54561
2009,9.27227
2009,0.10045
2009,0.22148
2009,0.01715
2010,3.79185
2010,0.017
2010,0.01445
2010,0.578
2010,0.8
2010,0.017
2010,0.37757
2010,0.13736
2010,65.73195
2010,0.12614
2010,0.0459
2010,0.02681
2010,0.03978
2010,0.00289
2010,1.65019
2010,0.00289
2010,0.03145
2010,0.14739
2010,0.12
2010,0.00289
2010,2.6
2010,11.60908
2010,0.15895
2010,4.92728
2010,1.0565
2010,0.028
2010,30.85442
2010,0.2907
2010,0.91885
2010,0.48807
2010,12.20394
2010,0.049
2010,0.29155
2011,0.01734
2011,0.102
2011,0.00867
2011,0.01156
2011,0.00289
2011,0.03145
2011,17.4901
2011,18.85524
2011,2.4
2011,0.05967
2011,0.02312
2011,0.50728
2011,0.54485
2011,0.0867
2011,0.05202
2011,0.04556
2011,0.72
2011,0.06613
2011,0.03179
2011,0.00289
2011,0.05168
2011,0.12716
2011,0.1377
2011,0.2652
2011,0.04046
2011,1.6184
2011,25.24908
2011,550.71884
2011,16.81862
2011,1.31401
2011,0.3077
2011,0.3145
2011,2.27164
2011,0.0735
2011,0.69024
2011,0.03978
2011,9.4
2011,34.41155
2012,0.07225
2012,0.034
2012,0.17445
2012,0.065
2012,3.31789
2012,0.01445
2012,0.74905
2012,2.59726
2012,1.96284
2012,0.0939
2012,0.187
2012,0.05168
2012,0.05678
2012,0.64
2012,0.00578
2012,0.26289
2012,0.13923
2012,0.59772
2012,0.00578
2012,0.0459
2012,0.0578
2012,4.5002
2012,0.23103
2012,0.00289
2012,0.1207
2012,0.1207
2012,0.07956
2012,0.05967
2012,0.05918
2012,0.45917
2012,0.04439
2012,0.01989
2012,0.12
2012,15.04005
2012,0.01989
2012,0.00289
2012,0.085
2012,13.8436766
2013,0.22525
2013,0.19074
2013,0.00867
2013,0.0289
2013,0.1989
2013,0.00289
2013,0.0578
2013,0.01156
2013,0.15827
2013,0.01989
2013,0.1479
2013,0.017
2013,0.27098
2013,0.0867
2013,0.23545
2013,0.09435
2013,0.02278
2013,0.03993
2013,0.02278
2013,0.01989
2013,0.02626
2013,0.23358
2013,0.002
2013,0.03978
2013,0.01989
2013,36.74373216
2014,0.03468
2014,2
2014,0.77673
2014,0.0212
2014,0.70904
2014,0.096
2014,0.04335
2014,0.0008
2014,0.02
2014,1.260896
2014,12.141152
2014,37.76724
2014,1.55460104
2014,1.03635
2015,0.0578
2015,0.06936
2015,0.0032
2015,0.03179
2015,0.05115
2015,0.065
2015,0.05423
2015,0.01445
2015,0.04624
2015,0.53318
2015,0.03468
2015,17.6
2015,0.10693
2015,0.1887
2015,0.034
2015,0.065
2015,0.02023
2015,0.02023
2015,0.21535332
2015,0.00128
2015,3.8370336
2015,2.25
2015,0.900864
2015,0.017
2015,0.14
2016,0
2017,0
2018,1.88993
2019,0
2020,1114.122786
2021,0
2022,155.690608
2023,0
2024,125.3419695
